inertia_k-means++; inertia_caseiro; inertia_k-means
1826.2122218991185; 1835.3256438898447; 1839.0987991289353
1823.1844361961107; 1839.7515673823316; 1830.5302019319374
1821.923729253567; 1825.4164481339253; 1835.6710941590984
1834.0720212677936; 1833.1860371107211; 1830.3433798494968
1824.3305539510982; 1840.038564503061; 1833.1139065665993
1830.8688382608354; 1834.2923531834747; 1829.1528079924178
1821.4848738995508; 1838.3021858695847; 1831.5914191496622
1836.8139655705975; 1821.2255580364626; 1839.1925943958422
1832.1450300977742; 1831.6788630156873; 1838.6211362842064
