inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1826.2122218991185; 51; 1835.3256438898447; 19; 1839.0987991289353; 45
1823.1844361961107; 23; 1839.7515673823316; 13; 1830.5302019319374; 26
1821.923729253567; 12; 1825.4164481339253; 13; 1835.6710941590984; 23
1834.0720212677936; 16; 1833.1860371107211; 42; 1830.3433798494968; 26
1824.3305539510982; 13; 1840.038564503061; 12; 1833.1139065665993; 25
1830.8688382608354; 13; 1834.2923531834747; 35; 1829.1528079924178; 17
1821.4848738995508; 25; 1838.3021858695847; 24; 1831.5914191496622; 14
1836.8139655705975; 15; 1821.2255580364626; 29; 1839.1925943958422; 15
1832.1450300977742; 24; 1831.6788630156873; 19; 1838.6211362842064; 29
