n_iter_k-means++; n_iter_caseiro; n_iter_k-means
51; 19; 45
23; 13; 26
12; 13; 23
16; 42; 26
13; 12; 25
13; 35; 17
25; 24; 14
15; 29; 15
24; 19; 29
