n_iter_k-means++; n_iter_caseiro; n_iter_k-means
35; 19; 18
19; 20; 13
12; 54; 14
34; 20; 17
22; 50; 15
16; 19; 25
11; 16; 17
21; 27; 28
22; 13; 23
14; 22; 20
45; 16; 22
20; 17; 18
15; 15; 22
29; 14; 15
15; 24; 21
