inertia_k-means++; inertia_caseiro; inertia_k-means
1830.4310797084086; 1830.4057856633963; 1829.7049806201853
1824.3194690158691; 1825.4071889042223; 1837.5578800824185
1830.1198841021735; 1831.3009768900704; 1829.0587750000866
1833.0592872002223; 1841.9385640586556; 1835.446688238891
1833.2912606091998; 1826.5052497446352; 1847.4288048091807
1832.1440156866995; 1836.3159909220399; 1843.2211893484287
1823.557743358685; 1826.2332437301718; 1837.6563162609693
1825.2432640949119; 1834.7545726266417; 1832.7369329495202
1822.3449617490298; 1839.760925767075; 1851.9924842739913
1825.165470709635; 1831.5766220482972; 1833.1274602883616
1824.8832185758074; 1829.985015795711; 1841.076347239937
1821.4749135244665; 1842.1985944781898; 1837.6287793983054
