inertia_k-means++; inertia_caseiro; inertia_k-means
1822.6705336984846; 1833.203155049579; 1830.7028888118143
1827.2951995104559; 1822.1589638799849; 1823.736835493804
1832.663243006841; 1830.8619434328393; 1843.7470207024544
1828.1796615333385; 1829.6307042196602; 1841.9739103905538
1828.904922433938; 1833.1244048992965; 1830.4303670609877
1827.1559331030646; 1830.2090742958028; 1829.3175944826748
1830.707983798159; 1825.998758088831; 1833.2580755564818
1826.3801200762132; 1827.6978806111779; 1832.7150192713525
1822.2239392925446; 1847.5590452637591; 1835.6191558379699
1823.9401764930767; 1839.6713552622623; 1832.6145650823748
1840.654280806918; 1836.4723013210453; 1830.262836653033
