n_iter_k-means++; n_iter_caseiro; n_iter_k-means
20; 18; 15
16; 26; 15
11; 13; 16
22; 19; 11
15; 19; 14
13; 20; 20
24; 16; 17
15; 12; 16
14; 22; 26
26; 17; 15
11; 26; 15
28; 18; 26
16; 15; 14
15; 18; 15
