inertia_k-means++; inertia_caseiro; inertia_k-means
1825.029992234326; 1829.535002984297; 1827.3442847711997
1830.9436008133625; 1834.2041168218295; 1831.3159114251246
1818.6185496408593; 1840.3350417313206; 1837.6935325244328
1820.5725057086156; 1829.1948760972884; 1834.29771832459
1820.1705723561465; 1829.7363848649434; 1832.2964235772363
1822.9548862153417; 1829.0283787547057; 1839.239744464229
1830.887906520527; 1835.5051616497444; 1825.8912175858347
1829.1724460045489; 1835.3849009440398; 1835.1080992170087
