n_iter_k-means++; n_iter_caseiro; n_iter_k-means
17; 16; 20
13; 17; 20
27; 16; 19
18; 15; 16
24; 15; 15
19; 14; 17
19; 14; 17
16; 26; 20
20; 27; 33
10; 17; 18
15; 17; 17
21; 13; 25
16; 21; 11
