inertia_k-means++; inertia_caseiro; inertia_k-means
1837.4874625136597; 1830.0506302933516; 1834.076857341938
1836.528564232987; 1836.6835093148752; 1837.7266186761608
1828.2233662205379; 1847.3237066145953; 1832.7674082313017
1826.9488824675007; 1833.939477377473; 1828.6524519549253
1822.5800554815316; 1849.5878137523443; 1832.6409101900224
1832.2786708294034; 1825.463129062887; 1835.6033401497432
1828.3706499542648; 1834.654423883756; 1837.6466927319452
1826.3939565421492; 1836.270175954872; 1826.3987613054774
1827.5529160471594; 1825.2763136738397; 1825.5986761407287
1830.8599245090484; 1823.415045796129; 1838.9207379071786
1837.42540405426; 1841.0467907097088; 1828.5100618780828
1836.837429736972; 1843.852595014944; 1825.5245344125324
1833.9285652051901; 1838.2988181625778; 1835.5773416024856
