inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1825.029992234326; 28; 1829.535002984297; 14; 1827.3442847711997; 30
1830.9436008133625; 16; 1834.2041168218295; 22; 1831.3159114251246; 22
1818.6185496408593; 16; 1840.3350417313206; 39; 1837.6935325244328; 25
1820.5725057086156; 19; 1829.1948760972884; 16; 1834.29771832459; 14
1820.1705723561465; 18; 1829.7363848649434; 23; 1832.2964235772363; 19
1822.9548862153417; 16; 1829.0283787547057; 25; 1839.239744464229; 15
1830.887906520527; 19; 1835.5051616497444; 12; 1825.8912175858347; 12
1829.1724460045489; 21; 1835.3849009440398; 29; 1835.1080992170087; 22
