n_iter_k-means++; n_iter_caseiro; n_iter_k-means
19; 27; 26
30; 22; 23
37; 18; 18
17; 15; 29
14; 33; 14
11; 14; 29
18; 18; 9
28; 18; 12
24; 19; 15
22; 45; 13
13; 39; 19
14; 15; 16
