inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1825.6380796174053; 20; 1831.6298302670289; 18; 1831.2231861479324; 15
1819.6786762872464; 16; 1831.3728844570771; 26; 1829.0187851054898; 15
1826.4691968771142; 11; 1833.9262342919915; 13; 1830.0033233127479; 16
1828.8355736345536; 22; 1826.7814430473754; 19; 1831.5933313329; 11
1828.3260162418655; 15; 1831.9047764578395; 19; 1831.1824918214359; 14
1830.2068837533277; 13; 1831.7970923890236; 20; 1821.7819499133425; 20
1831.459913314151; 24; 1831.9078854573002; 16; 1833.3889280163075; 17
1826.0354199147478; 15; 1829.0784238198798; 12; 1833.5468919535213; 16
1832.4646924172; 14; 1828.4637593434322; 22; 1824.2114788353251; 26
1825.2723234475059; 26; 1825.780919141722; 17; 1825.8511085738141; 15
1828.2931009187892; 11; 1829.2884507933725; 26; 1843.9630783115686; 15
1829.39910367679; 28; 1842.8779192396264; 18; 1843.1422170694248; 26
1833.4455070132942; 16; 1841.5062795686013; 15; 1831.1299050709279; 14
1834.5815775013923; 15; 1850.7669396257777; 18; 1852.5849257826255; 15
