inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1837.4874625136597; 17; 1830.0506302933516; 16; 1834.076857341938; 20
1836.528564232987; 13; 1836.6835093148752; 17; 1837.7266186761608; 20
1828.2233662205379; 27; 1847.3237066145953; 16; 1832.7674082313017; 19
1826.9488824675007; 18; 1833.939477377473; 15; 1828.6524519549253; 16
1822.5800554815316; 24; 1849.5878137523443; 15; 1832.6409101900224; 15
1832.2786708294034; 19; 1825.463129062887; 14; 1835.6033401497432; 17
1828.3706499542648; 19; 1834.654423883756; 14; 1837.6466927319452; 17
1826.3939565421492; 16; 1836.270175954872; 26; 1826.3987613054774; 20
1827.5529160471594; 20; 1825.2763136738397; 27; 1825.5986761407287; 33
1830.8599245090484; 10; 1823.415045796129; 17; 1838.9207379071786; 18
1837.42540405426; 15; 1841.0467907097088; 17; 1828.5100618780828; 17
1836.837429736972; 21; 1843.852595014944; 13; 1825.5245344125324; 25
1833.9285652051901; 16; 1838.2988181625778; 21; 1835.5773416024856; 11
