inertia_k-means++; inertia_caseiro; inertia_k-means
1825.6380796174053; 1831.6298302670289; 1831.2231861479324
1819.6786762872464; 1831.3728844570771; 1829.0187851054898
1826.4691968771142; 1833.9262342919915; 1830.0033233127479
1828.8355736345536; 1826.7814430473754; 1831.5933313329
1828.3260162418655; 1831.9047764578395; 1831.1824918214359
1830.2068837533277; 1831.7970923890236; 1821.7819499133425
1831.459913314151; 1831.9078854573002; 1833.3889280163075
1826.0354199147478; 1829.0784238198798; 1833.5468919535213
1832.4646924172; 1828.4637593434322; 1824.2114788353251
1825.2723234475059; 1825.780919141722; 1825.8511085738141
1828.2931009187892; 1829.2884507933725; 1843.9630783115686
1829.39910367679; 1842.8779192396264; 1843.1422170694248
1833.4455070132942; 1841.5062795686013; 1831.1299050709279
1834.5815775013923; 1850.7669396257777; 1852.5849257826255
