inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1821.6911129728305; 35; 1835.323550221952; 19; 1827.950570496566; 18
1834.25883349116; 19; 1837.4977627667854; 20; 1830.026327475439; 13
1819.4456985800407; 12; 1835.8382596155382; 54; 1826.912639903822; 14
1827.2386530218635; 34; 1830.161679303249; 20; 1839.414069442632; 17
1825.6787040524177; 22; 1831.5380391882236; 50; 1832.710109899657; 15
1824.7402659285776; 16; 1835.8524127064425; 19; 1844.4895135792933; 25
1829.1919238054159; 11; 1829.6940891531144; 16; 1832.5566078325855; 17
1829.402823127217; 21; 1822.6358659003058; 27; 1833.669432911932; 28
1827.6216545900106; 22; 1839.6356294505342; 13; 1837.9506762500807; 23
1832.8118135155014; 14; 1834.3338505898398; 22; 1839.6641165813674; 20
1825.2395385443763; 45; 1847.1409715808352; 16; 1828.4696786095678; 22
1820.6675602017276; 20; 1835.240264894939; 17; 1827.4049468923777; 18
1833.1189749602092; 15; 1839.9849268020644; 15; 1838.497440341202; 22
1826.5940811024632; 29; 1831.8823674916791; 14; 1831.1484710115967; 15
1827.470979451041; 15; 1843.8412103995934; 24; 1829.5352011020727; 21
