inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1826.5957827578472; 15; 1844.0271301638331; 35; 1829.9096587308247; 19
1832.957685456679; 12; 1826.4814624996948; 14; 1835.5791163011168; 18
1836.424984941906; 28; 1824.662160535273; 13; 1837.438227075523; 22
1832.1346291141012; 14; 1831.2951262353274; 16; 1835.2173984766089; 23
1845.435227888212; 14; 1821.8888981938076; 13; 1827.9504243920724; 14
1822.6112958949668; 30; 1828.9537196157983; 20; 1832.5481338915836; 16
