inertia_k-means++; n_iter_k-means++; inertia_caseiro; n_iter_caseiro;inertia_k-means; n_iter_k-means
1829.247192295314; 14; 1849.6314311857511; 14; 1831.1659175848934; 19
1830.036242068243; 21; 1833.932539290097; 19; 1831.393723327774; 19
1827.5602018265588; 16; 1831.3834358066813; 39; 1836.1432026515893; 20
1831.4296460132841; 17; 1831.1478724570115; 25; 1833.0505005387822; 33
1820.2806501482467; 18; 1828.3500040642061; 20; 1830.964433383329; 26
1828.197598741532; 13; 1825.901980670181; 25; 1830.3104157870964; 22
1827.2541769621669; 35; 1833.3960966337627; 22; 1834.4690754576006; 13
