n_iter_k-means++; n_iter_caseiro; n_iter_k-means
17; 37; 23
18; 26; 20
11; 43; 18
17; 12; 25
20; 38; 20
13; 13; 22
29; 17; 17
19; 15; 16
14; 16; 16
15; 24; 24
16; 15; 21
